County,Population,GrowthRate
King,2233163,15.2080
Pierce,891299,12.0577
Snohomish,814901,13.8914
Spokane,514631,9.0114
Clark,481857,12.9240
Thurston,286419,13.2109
Kitsap,269805,7.2033
Yakima,251446,2.9382
Whatcom,225685,11.9764
Benton,201877,14.4006
Skagit,128206,9.6209
Cowlitz,108987,6.4773
Grant,97331,8.6659
Franklin,94347,19.3012
Island,84460,7.3326
Lewis,79604,5.4288
Chelan,77036,5.8827
Clallam,76737,7.3110
Grays Harbor,73901,1.4524
Mason,65507,7.8571
Walla Walla,60922,3.3978
Whitman,49791,11.1555
Kittitas,47364,15.5530
Stevens,45260,4.1322
Douglas,42907,11.4033
Okanogan,42132,2.1902
Jefferson,31729,6.1490
Asotin,22610,4.0736
Klickitat,22107,8.4953
Pacific,22036,5.5465
Adams,19759,5.1626
San Juan,17128,8.5150
Pend Oreille,13602,5.0429
Skamania,11924,7.2785
Lincoln,10740,1.5603
Ferry,7649,1.3918
Wahkiakum,4426,11.1223
Columbia,4059,-0.8549
Garfield,2247,-0.6192
